name,logo
beIN Sports 1,img/beIN_img/beIN_SPORTS1_DIGITAL_Mono.png
beIN Sports 2,img/beIN_img/beIN_SPORTS2_DIGITAL_Mono.png
beIN Sports 3,img/beIN_img/beIN_SPORTS3_DIGITAL_Mono.png
beIN Sports 4,img/beIN_img/beIN_SPORTS4_DIGITAL_Mono.png
beIN Sports 5,img/beIN_img/beIN_SPORTS5_DIGITAL_Mono.png
beIN Sports 6,img/beIN_img/beIN_SPORTS6_DIGITAL_Mono.png
beIN Sports 7,img/beIN_img/beIN_SPORTS7_DIGITAL_Mono.png
beIN Sports 8,img/beIN_img/beIN_SPORTS8_DIGITAL_Mono.png
beIN Sports 9,img/beIN_img/beIN_SPORTS9_DIGITAL_Mono.png
beIN XTRA 1,img/beIN_img/beIN_SPORTS_XTRA1_Digital_Mono.png
beIN XTRA 2,img/beIN_img/beIN_SPORTS_XTRA2_Digital_Mono.png
beIN XTRA 3,img/beIN_img/beIN_SPORTS_XTRA3_Digital_Mono.png
beIN XTRA 4,img/beIN_img/beIN_SPORTS_XTRA4_Digital_Mono.png
beIN XTRA 5,img/beIN_img/beIN_SPORTS_XTRA5_Digital_Mono.png
beIN XTRA 6,img/beIN_img/beIN_SPORTS_XTRA6_Digital_Mono.png
beIN XTRA 7,img/beIN_img/beIN_SPORTS_XTRA7_Digital_Mono.png
beIN XTRA 8,img/beIN_img/beIN_SPORTS_XTRA8_Digital_Mono.png
beIN XTRA 9,img/beIN_img/beIN_SPORTS_XTRA9_Digital_Mono.png
beIN MAX 1,img/beIN_img/beIN_SPORTS_XTRA1_Digital_Mono.png
beIN MAX 2
beIN MAX 3
beIN MAX 4
beIN MAX 5
beIN MAX 6
beIN المجانية
