code,name,logo,color,extraLogo
EPL,الدوري الإنجليزي,img/eng/premier-league-1.png,#2,img/yemen-sat-white.png
LaLiga,الدوري الإسباني,img/esb/la-liga-1.png,#2,img/yemen-sat-white.png
Ligue1,الدوري الفرنسي,img/frn/fr.png,#2,img/yemen-sat-white.png
uefa,دوري ابطال اروبا,img/uefa/uefa.png,#2,img/yemen-sat-white.png
WCU20,كاس العالم للشباب تحت الـ20,img/world-cup-u20/WCU20-1.png,#2,img/yemen-sat-white.png
WCEUROPE,تصفيات كأس العالم أوروبا,img/world-cup-europe/‏‏WCEUROPE-1.png,#2,img/yemen-sat-white.png
EFL,كأس رابطة الدوري الإنجليزي,img/efl-cup/efl-cup-v20.png,#2,img/yemen-sat-white.png
SPL,الدوري السعودي(روشن),img/saudi-league/saudi-league-1.png,#2,img/yemen-sat-white.png
ACL,دوري ابطال آسيا للنخبة,img/asia-champions-league/AC-league-1.png,#2,img/yemen-sat-white.png
WCU17,كأس العالم للناشئين,img/world-cup-u17/world-cup-u17.png,#2,img/yemen-sat-white.png
